index,parent_dir,image_dir_name,sub_dir_name,fname,year,month,data_type,extension,full_path,has_udm
0,train,L15-0368E-1245N_1474_3210_13,images_masked,global_monthly_2019_06_mosaic_L15-0368E-1245N_1474_3210_13,2019,06,Images,tif,../../DATASET/dataset_pruebas/train/L15-0368E-1245N_1474_3210_13/images_masked/global_monthly_2019_06_mosaic_L15-0368E-1245N_1474_3210_13.tif,False
1,train,L15-0368E-1245N_1474_3210_13,images_masked,global_monthly_2018_11_mosaic_L15-0368E-1245N_1474_3210_13,2018,11,Images,tif,../../DATASET/dataset_pruebas/train/L15-0368E-1245N_1474_3210_13/images_masked/global_monthly_2018_11_mosaic_L15-0368E-1245N_1474_3210_13.tif,False
2,train,L15-0368E-1245N_1474_3210_13,images_masked,global_monthly_2019_11_mosaic_L15-0368E-1245N_1474_3210_13,2019,11,Images,tif,../../DATASET/dataset_pruebas/train/L15-0368E-1245N_1474_3210_13/images_masked/global_monthly_2019_11_mosaic_L15-0368E-1245N_1474_3210_13.tif,False
3,train,L15-0368E-1245N_1474_3210_13,images_masked,global_monthly_2018_09_mosaic_L15-0368E-1245N_1474_3210_13,2018,09,Images,tif,../../DATASET/dataset_pruebas/train/L15-0368E-1245N_1474_3210_13/images_masked/global_monthly_2018_09_mosaic_L15-0368E-1245N_1474_3210_13.tif,False
4,train,L15-0368E-1245N_1474_3210_13,images_masked,global_monthly_2018_06_mosaic_L15-0368E-1245N_1474_3210_13,2018,06,Images,tif,../../DATASET/dataset_pruebas/train/L15-0368E-1245N_1474_3210_13/images_masked/global_monthly_2018_06_mosaic_L15-0368E-1245N_1474_3210_13.tif,False
5,train,L15-0368E-1245N_1474_3210_13,images_masked,global_monthly_2018_02_mosaic_L15-0368E-1245N_1474_3210_13,2018,02,Images,tif,../../DATASET/dataset_pruebas/train/L15-0368E-1245N_1474_3210_13/images_masked/global_monthly_2018_02_mosaic_L15-0368E-1245N_1474_3210_13.tif,False
6,train,L15-0368E-1245N_1474_3210_13,images_masked,global_monthly_2018_07_mosaic_L15-0368E-1245N_1474_3210_13,2018,07,Images,tif,../../DATASET/dataset_pruebas/train/L15-0368E-1245N_1474_3210_13/images_masked/global_monthly_2018_07_mosaic_L15-0368E-1245N_1474_3210_13.tif,False
7,train,L15-0368E-1245N_1474_3210_13,images_masked,global_monthly_2019_07_mosaic_L15-0368E-1245N_1474_3210_13,2019,07,Images,tif,../../DATASET/dataset_pruebas/train/L15-0368E-1245N_1474_3210_13/images_masked/global_monthly_2019_07_mosaic_L15-0368E-1245N_1474_3210_13.tif,False
8,train,L15-0368E-1245N_1474_3210_13,images_masked,global_monthly_2019_12_mosaic_L15-0368E-1245N_1474_3210_13,2019,12,Images,tif,../../DATASET/dataset_pruebas/train/L15-0368E-1245N_1474_3210_13/images_masked/global_monthly_2019_12_mosaic_L15-0368E-1245N_1474_3210_13.tif,False
9,train,L15-0368E-1245N_1474_3210_13,images_masked,global_monthly_2018_04_mosaic_L15-0368E-1245N_1474_3210_13,2018,04,Images,tif,../../DATASET/dataset_pruebas/train/L15-0368E-1245N_1474_3210_13/images_masked/global_monthly_2018_04_mosaic_L15-0368E-1245N_1474_3210_13.tif,False
10,train,L15-0368E-1245N_1474_3210_13,images_masked,global_monthly_2019_02_mosaic_L15-0368E-1245N_1474_3210_13,2019,02,Images,tif,../../DATASET/dataset_pruebas/train/L15-0368E-1245N_1474_3210_13/images_masked/global_monthly_2019_02_mosaic_L15-0368E-1245N_1474_3210_13.tif,False
11,train,L15-0368E-1245N_1474_3210_13,images_masked,global_monthly_2020_01_mosaic_L15-0368E-1245N_1474_3210_13,2020,01,Images,tif,../../DATASET/dataset_pruebas/train/L15-0368E-1245N_1474_3210_13/images_masked/global_monthly_2020_01_mosaic_L15-0368E-1245N_1474_3210_13.tif,False
12,train,L15-0368E-1245N_1474_3210_13,images_masked,global_monthly_2019_05_mosaic_L15-0368E-1245N_1474_3210_13,2019,05,Images,tif,../../DATASET/dataset_pruebas/train/L15-0368E-1245N_1474_3210_13/images_masked/global_monthly_2019_05_mosaic_L15-0368E-1245N_1474_3210_13.tif,False
13,train,L15-0368E-1245N_1474_3210_13,images_masked,global_monthly_2018_10_mosaic_L15-0368E-1245N_1474_3210_13,2018,10,Images,tif,../../DATASET/dataset_pruebas/train/L15-0368E-1245N_1474_3210_13/images_masked/global_monthly_2018_10_mosaic_L15-0368E-1245N_1474_3210_13.tif,False
14,train,L15-0368E-1245N_1474_3210_13,images_masked,global_monthly_2019_01_mosaic_L15-0368E-1245N_1474_3210_13,2019,01,Images,tif,../../DATASET/dataset_pruebas/train/L15-0368E-1245N_1474_3210_13/images_masked/global_monthly_2019_01_mosaic_L15-0368E-1245N_1474_3210_13.tif,False
