parent_dir,image_dir_name,sub_dir_name,fname,year,month,data_type,extension,full_path,has_udm
train,L15-0368E-1245N_1474_3210_13,images_masked,global_monthly_2019_06_mosaic_L15-0368E-1245N_1474_3210_13,2019,06,Images,tif,../../DATASET/dataset_pruebas/train/L15-0368E-1245N_1474_3210_13/images_masked/global_monthly_2019_06_mosaic_L15-0368E-1245N_1474_3210_13.tif,False
train,L15-0368E-1245N_1474_3210_13,images_masked,global_monthly_2018_11_mosaic_L15-0368E-1245N_1474_3210_13,2018,11,Images,tif,../../DATASET/dataset_pruebas/train/L15-0368E-1245N_1474_3210_13/images_masked/global_monthly_2018_11_mosaic_L15-0368E-1245N_1474_3210_13.tif,False
train,L15-0368E-1245N_1474_3210_13,images_masked,global_monthly_2019_11_mosaic_L15-0368E-1245N_1474_3210_13,2019,11,Images,tif,../../DATASET/dataset_pruebas/train/L15-0368E-1245N_1474_3210_13/images_masked/global_monthly_2019_11_mosaic_L15-0368E-1245N_1474_3210_13.tif,False
train,L15-0368E-1245N_1474_3210_13,images_masked,global_monthly_2018_09_mosaic_L15-0368E-1245N_1474_3210_13,2018,09,Images,tif,../../DATASET/dataset_pruebas/train/L15-0368E-1245N_1474_3210_13/images_masked/global_monthly_2018_09_mosaic_L15-0368E-1245N_1474_3210_13.tif,False
train,L15-0368E-1245N_1474_3210_13,images_masked,global_monthly_2018_06_mosaic_L15-0368E-1245N_1474_3210_13,2018,06,Images,tif,../../DATASET/dataset_pruebas/train/L15-0368E-1245N_1474_3210_13/images_masked/global_monthly_2018_06_mosaic_L15-0368E-1245N_1474_3210_13.tif,False
train,L15-0368E-1245N_1474_3210_13,images_masked,global_monthly_2018_02_mosaic_L15-0368E-1245N_1474_3210_13,2018,02,Images,tif,../../DATASET/dataset_pruebas/train/L15-0368E-1245N_1474_3210_13/images_masked/global_monthly_2018_02_mosaic_L15-0368E-1245N_1474_3210_13.tif,False
train,L15-0368E-1245N_1474_3210_13,images_masked,global_monthly_2018_07_mosaic_L15-0368E-1245N_1474_3210_13,2018,07,Images,tif,../../DATASET/dataset_pruebas/train/L15-0368E-1245N_1474_3210_13/images_masked/global_monthly_2018_07_mosaic_L15-0368E-1245N_1474_3210_13.tif,False
train,L15-0368E-1245N_1474_3210_13,images_masked,global_monthly_2019_07_mosaic_L15-0368E-1245N_1474_3210_13,2019,07,Images,tif,../../DATASET/dataset_pruebas/train/L15-0368E-1245N_1474_3210_13/images_masked/global_monthly_2019_07_mosaic_L15-0368E-1245N_1474_3210_13.tif,False
train,L15-0368E-1245N_1474_3210_13,images_masked,global_monthly_2019_12_mosaic_L15-0368E-1245N_1474_3210_13,2019,12,Images,tif,../../DATASET/dataset_pruebas/train/L15-0368E-1245N_1474_3210_13/images_masked/global_monthly_2019_12_mosaic_L15-0368E-1245N_1474_3210_13.tif,False
train,L15-0368E-1245N_1474_3210_13,images_masked,global_monthly_2018_04_mosaic_L15-0368E-1245N_1474_3210_13,2018,04,Images,tif,../../DATASET/dataset_pruebas/train/L15-0368E-1245N_1474_3210_13/images_masked/global_monthly_2018_04_mosaic_L15-0368E-1245N_1474_3210_13.tif,False
