index,parent_dir,image_dir_name,sub_dir_name,fname,year,month,data_type,extension,full_path,has_udm
0,train,L15-0357E-1223N_1429_3296_13,images,global_monthly_2018_01_mosaic_L15-0357E-1223N_1429_3296_13,2018,01,Images,tif,DATASET/dataset_pruebas/train/L15-0357E-1223N_1429_3296_13/images/global_monthly_2018_01_mosaic_L15-0357E-1223N_1429_3296_13.tif,False
1,train,L15-0357E-1223N_1429_3296_13,images,global_monthly_2018_02_mosaic_L15-0357E-1223N_1429_3296_13,2018,02,Images,tif,DATASET/dataset_pruebas/train/L15-0357E-1223N_1429_3296_13/images/global_monthly_2018_02_mosaic_L15-0357E-1223N_1429_3296_13.tif,False
2,train,L15-0357E-1223N_1429_3296_13,images,global_monthly_2018_03_mosaic_L15-0357E-1223N_1429_3296_13,2018,03,Images,tif,DATASET/dataset_pruebas/train/L15-0357E-1223N_1429_3296_13/images/global_monthly_2018_03_mosaic_L15-0357E-1223N_1429_3296_13.tif,False
3,train,L15-0357E-1223N_1429_3296_13,images,global_monthly_2018_04_mosaic_L15-0357E-1223N_1429_3296_13,2018,04,Images,tif,DATASET/dataset_pruebas/train/L15-0357E-1223N_1429_3296_13/images/global_monthly_2018_04_mosaic_L15-0357E-1223N_1429_3296_13.tif,False
4,train,L15-0357E-1223N_1429_3296_13,images,global_monthly_2018_05_mosaic_L15-0357E-1223N_1429_3296_13,2018,05,Images,tif,DATASET/dataset_pruebas/train/L15-0357E-1223N_1429_3296_13/images/global_monthly_2018_05_mosaic_L15-0357E-1223N_1429_3296_13.tif,False
5,train,L15-0357E-1223N_1429_3296_13,images,global_monthly_2018_06_mosaic_L15-0357E-1223N_1429_3296_13,2018,06,Images,tif,DATASET/dataset_pruebas/train/L15-0357E-1223N_1429_3296_13/images/global_monthly_2018_06_mosaic_L15-0357E-1223N_1429_3296_13.tif,False
6,train,L15-0357E-1223N_1429_3296_13,images,global_monthly_2018_07_mosaic_L15-0357E-1223N_1429_3296_13,2018,07,Images,tif,DATASET/dataset_pruebas/train/L15-0357E-1223N_1429_3296_13/images/global_monthly_2018_07_mosaic_L15-0357E-1223N_1429_3296_13.tif,False
7,train,L15-0357E-1223N_1429_3296_13,images,global_monthly_2018_08_mosaic_L15-0357E-1223N_1429_3296_13,2018,08,Images,tif,DATASET/dataset_pruebas/train/L15-0357E-1223N_1429_3296_13/images/global_monthly_2018_08_mosaic_L15-0357E-1223N_1429_3296_13.tif,False
8,train,L15-0357E-1223N_1429_3296_13,images,global_monthly_2018_09_mosaic_L15-0357E-1223N_1429_3296_13,2018,09,Images,tif,DATASET/dataset_pruebas/train/L15-0357E-1223N_1429_3296_13/images/global_monthly_2018_09_mosaic_L15-0357E-1223N_1429_3296_13.tif,False
9,train,L15-0357E-1223N_1429_3296_13,images,global_monthly_2018_10_mosaic_L15-0357E-1223N_1429_3296_13,2018,10,Images,tif,DATASET/dataset_pruebas/train/L15-0357E-1223N_1429_3296_13/images/global_monthly_2018_10_mosaic_L15-0357E-1223N_1429_3296_13.tif,False
10,train,L15-0357E-1223N_1429_3296_13,images,global_monthly_2018_11_mosaic_L15-0357E-1223N_1429_3296_13,2018,11,Images,tif,DATASET/dataset_pruebas/train/L15-0357E-1223N_1429_3296_13/images/global_monthly_2018_11_mosaic_L15-0357E-1223N_1429_3296_13.tif,False
11,train,L15-0357E-1223N_1429_3296_13,images,global_monthly_2018_12_mosaic_L15-0357E-1223N_1429_3296_13,2018,12,Images,tif,DATASET/dataset_pruebas/train/L15-0357E-1223N_1429_3296_13/images/global_monthly_2018_12_mosaic_L15-0357E-1223N_1429_3296_13.tif,False
