parent_dir,image_dir_name,fname,year,month,has_udm,udm_masks,images,images_masked,labels_buildings,labels_udm,labels_match,labels_match_pix
train,L15-0357E-1223N_1429_3296_13,global_monthly_2018_01_mosaic_L15-0357E-1223N_1429_3296_13,2018,01,False,,L15-0357E-1223N_1429_3296_13/images/global_monthly_2018_01_mosaic_L15-0357E-1223N_1429_3296_13.tif,L15-0357E-1223N_1429_3296_13/images_masked/global_monthly_2018_01_mosaic_L15-0357E-1223N_1429_3296_13.tif,L15-0357E-1223N_1429_3296_13/labels/global_monthly_2018_01_mosaic_L15-0357E-1223N_1429_3296_13_Buildings.geojson,L15-0357E-1223N_1429_3296_13/labels/global_monthly_2018_01_mosaic_L15-0357E-1223N_1429_3296_13_UDM.geojson,L15-0357E-1223N_1429_3296_13/labels_match/global_monthly_2018_01_mosaic_L15-0357E-1223N_1429_3296_13_Buildings.geojson,L15-0357E-1223N_1429_3296_13/labels_match_pix/global_monthly_2018_01_mosaic_L15-0357E-1223N_1429_3296_13_Buildings.geojson
train,L15-0357E-1223N_1429_3296_13,global_monthly_2018_02_mosaic_L15-0357E-1223N_1429_3296_13,2018,02,False,,L15-0357E-1223N_1429_3296_13/images/global_monthly_2018_02_mosaic_L15-0357E-1223N_1429_3296_13.tif,L15-0357E-1223N_1429_3296_13/images_masked/global_monthly_2018_02_mosaic_L15-0357E-1223N_1429_3296_13.tif,L15-0357E-1223N_1429_3296_13/labels/global_monthly_2018_02_mosaic_L15-0357E-1223N_1429_3296_13_Buildings.geojson,L15-0357E-1223N_1429_3296_13/labels/global_monthly_2018_02_mosaic_L15-0357E-1223N_1429_3296_13_UDM.geojson,L15-0357E-1223N_1429_3296_13/labels_match/global_monthly_2018_02_mosaic_L15-0357E-1223N_1429_3296_13_Buildings.geojson,L15-0357E-1223N_1429_3296_13/labels_match_pix/global_monthly_2018_02_mosaic_L15-0357E-1223N_1429_3296_13_Buildings.geojson
train,L15-0357E-1223N_1429_3296_13,global_monthly_2018_03_mosaic_L15-0357E-1223N_1429_3296_13,2018,03,False,,L15-0357E-1223N_1429_3296_13/images/global_monthly_2018_03_mosaic_L15-0357E-1223N_1429_3296_13.tif,L15-0357E-1223N_1429_3296_13/images_masked/global_monthly_2018_03_mosaic_L15-0357E-1223N_1429_3296_13.tif,L15-0357E-1223N_1429_3296_13/labels/global_monthly_2018_03_mosaic_L15-0357E-1223N_1429_3296_13_Buildings.geojson,L15-0357E-1223N_1429_3296_13/labels/global_monthly_2018_03_mosaic_L15-0357E-1223N_1429_3296_13_UDM.geojson,L15-0357E-1223N_1429_3296_13/labels_match/global_monthly_2018_03_mosaic_L15-0357E-1223N_1429_3296_13_Buildings.geojson,L15-0357E-1223N_1429_3296_13/labels_match_pix/global_monthly_2018_03_mosaic_L15-0357E-1223N_1429_3296_13_Buildings.geojson
train,L15-0357E-1223N_1429_3296_13,global_monthly_2018_04_mosaic_L15-0357E-1223N_1429_3296_13,2018,04,False,,L15-0357E-1223N_1429_3296_13/images/global_monthly_2018_04_mosaic_L15-0357E-1223N_1429_3296_13.tif,L15-0357E-1223N_1429_3296_13/images_masked/global_monthly_2018_04_mosaic_L15-0357E-1223N_1429_3296_13.tif,L15-0357E-1223N_1429_3296_13/labels/global_monthly_2018_04_mosaic_L15-0357E-1223N_1429_3296_13_Buildings.geojson,L15-0357E-1223N_1429_3296_13/labels/global_monthly_2018_04_mosaic_L15-0357E-1223N_1429_3296_13_UDM.geojson,L15-0357E-1223N_1429_3296_13/labels_match/global_monthly_2018_04_mosaic_L15-0357E-1223N_1429_3296_13_Buildings.geojson,L15-0357E-1223N_1429_3296_13/labels_match_pix/global_monthly_2018_04_mosaic_L15-0357E-1223N_1429_3296_13_Buildings.geojson
train,L15-0357E-1223N_1429_3296_13,global_monthly_2018_05_mosaic_L15-0357E-1223N_1429_3296_13,2018,05,False,,L15-0357E-1223N_1429_3296_13/images/global_monthly_2018_05_mosaic_L15-0357E-1223N_1429_3296_13.tif,L15-0357E-1223N_1429_3296_13/images_masked/global_monthly_2018_05_mosaic_L15-0357E-1223N_1429_3296_13.tif,L15-0357E-1223N_1429_3296_13/labels/global_monthly_2018_05_mosaic_L15-0357E-1223N_1429_3296_13_Buildings.geojson,L15-0357E-1223N_1429_3296_13/labels/global_monthly_2018_05_mosaic_L15-0357E-1223N_1429_3296_13_UDM.geojson,L15-0357E-1223N_1429_3296_13/labels_match/global_monthly_2018_05_mosaic_L15-0357E-1223N_1429_3296_13_Buildings.geojson,L15-0357E-1223N_1429_3296_13/labels_match_pix/global_monthly_2018_05_mosaic_L15-0357E-1223N_1429_3296_13_Buildings.geojson
train,L15-0357E-1223N_1429_3296_13,global_monthly_2018_06_mosaic_L15-0357E-1223N_1429_3296_13,2018,06,False,,L15-0357E-1223N_1429_3296_13/images/global_monthly_2018_06_mosaic_L15-0357E-1223N_1429_3296_13.tif,L15-0357E-1223N_1429_3296_13/images_masked/global_monthly_2018_06_mosaic_L15-0357E-1223N_1429_3296_13.tif,L15-0357E-1223N_1429_3296_13/labels/global_monthly_2018_06_mosaic_L15-0357E-1223N_1429_3296_13_Buildings.geojson,L15-0357E-1223N_1429_3296_13/labels/global_monthly_2018_06_mosaic_L15-0357E-1223N_1429_3296_13_UDM.geojson,L15-0357E-1223N_1429_3296_13/labels_match/global_monthly_2018_06_mosaic_L15-0357E-1223N_1429_3296_13_Buildings.geojson,L15-0357E-1223N_1429_3296_13/labels_match_pix/global_monthly_2018_06_mosaic_L15-0357E-1223N_1429_3296_13_Buildings.geojson
train,L15-0357E-1223N_1429_3296_13,global_monthly_2018_07_mosaic_L15-0357E-1223N_1429_3296_13,2018,07,False,,L15-0357E-1223N_1429_3296_13/images/global_monthly_2018_07_mosaic_L15-0357E-1223N_1429_3296_13.tif,L15-0357E-1223N_1429_3296_13/images_masked/global_monthly_2018_07_mosaic_L15-0357E-1223N_1429_3296_13.tif,L15-0357E-1223N_1429_3296_13/labels/global_monthly_2018_07_mosaic_L15-0357E-1223N_1429_3296_13_Buildings.geojson,L15-0357E-1223N_1429_3296_13/labels/global_monthly_2018_07_mosaic_L15-0357E-1223N_1429_3296_13_UDM.geojson,L15-0357E-1223N_1429_3296_13/labels_match/global_monthly_2018_07_mosaic_L15-0357E-1223N_1429_3296_13_Buildings.geojson,L15-0357E-1223N_1429_3296_13/labels_match_pix/global_monthly_2018_07_mosaic_L15-0357E-1223N_1429_3296_13_Buildings.geojson
train,L15-0357E-1223N_1429_3296_13,global_monthly_2018_08_mosaic_L15-0357E-1223N_1429_3296_13,2018,08,False,,L15-0357E-1223N_1429_3296_13/images/global_monthly_2018_08_mosaic_L15-0357E-1223N_1429_3296_13.tif,L15-0357E-1223N_1429_3296_13/images_masked/global_monthly_2018_08_mosaic_L15-0357E-1223N_1429_3296_13.tif,L15-0357E-1223N_1429_3296_13/labels/global_monthly_2018_08_mosaic_L15-0357E-1223N_1429_3296_13_Buildings.geojson,L15-0357E-1223N_1429_3296_13/labels/global_monthly_2018_08_mosaic_L15-0357E-1223N_1429_3296_13_UDM.geojson,L15-0357E-1223N_1429_3296_13/labels_match/global_monthly_2018_08_mosaic_L15-0357E-1223N_1429_3296_13_Buildings.geojson,L15-0357E-1223N_1429_3296_13/labels_match_pix/global_monthly_2018_08_mosaic_L15-0357E-1223N_1429_3296_13_Buildings.geojson
train,L15-0357E-1223N_1429_3296_13,global_monthly_2018_09_mosaic_L15-0357E-1223N_1429_3296_13,2018,09,False,,L15-0357E-1223N_1429_3296_13/images/global_monthly_2018_09_mosaic_L15-0357E-1223N_1429_3296_13.tif,L15-0357E-1223N_1429_3296_13/images_masked/global_monthly_2018_09_mosaic_L15-0357E-1223N_1429_3296_13.tif,L15-0357E-1223N_1429_3296_13/labels/global_monthly_2018_09_mosaic_L15-0357E-1223N_1429_3296_13_Buildings.geojson,L15-0357E-1223N_1429_3296_13/labels/global_monthly_2018_09_mosaic_L15-0357E-1223N_1429_3296_13_UDM.geojson,L15-0357E-1223N_1429_3296_13/labels_match/global_monthly_2018_09_mosaic_L15-0357E-1223N_1429_3296_13_Buildings.geojson,L15-0357E-1223N_1429_3296_13/labels_match_pix/global_monthly_2018_09_mosaic_L15-0357E-1223N_1429_3296_13_Buildings.geojson
train,L15-0357E-1223N_1429_3296_13,global_monthly_2018_10_mosaic_L15-0357E-1223N_1429_3296_13,2018,10,False,,L15-0357E-1223N_1429_3296_13/images/global_monthly_2018_10_mosaic_L15-0357E-1223N_1429_3296_13.tif,L15-0357E-1223N_1429_3296_13/images_masked/global_monthly_2018_10_mosaic_L15-0357E-1223N_1429_3296_13.tif,L15-0357E-1223N_1429_3296_13/labels/global_monthly_2018_10_mosaic_L15-0357E-1223N_1429_3296_13_Buildings.geojson,L15-0357E-1223N_1429_3296_13/labels/global_monthly_2018_10_mosaic_L15-0357E-1223N_1429_3296_13_UDM.geojson,L15-0357E-1223N_1429_3296_13/labels_match/global_monthly_2018_10_mosaic_L15-0357E-1223N_1429_3296_13_Buildings.geojson,L15-0357E-1223N_1429_3296_13/labels_match_pix/global_monthly_2018_10_mosaic_L15-0357E-1223N_1429_3296_13_Buildings.geojson
